event, raw_date, year
Analytical Engine, 1900-01-01, 1900
Hollerith Tabulator, 1908-01-02, 1908
Monroe Calculator, 1911-01-03, 1911
IBM Tabulator, 1919-01-04, 1919
National Ellis 3000, 1928-01-05, 1928
Zuse 2, 1939-01-06, 1939
Bell Calculator Model 1, 1940-01-07, 1940
Zuse 3, 1941-01-08, 1941
Colossus, 1943-01-09, 1943
ENIAC, 1946-01-10, 1946
IBM SSEC, 1948-01-11, 1948
BINAC, 1949-01-12, 1949
EDSAC, 1949-01-13, 1949
Univac I, 1951-01-14, 1951
Univac 1103, 1953-01-15, 1953
IBM 701, 1953-01-16, 1953
EDVAC, 1954-01-17, 1954
Whirlwind, 1955-01-18, 1955
IBM 704, 1955-01-19, 1955
Datamatic 1000, 1958-01-20, 1958
Univac II, 1958-01-21, 1958
IBM 1620, 1960-01-22, 1960
DEC PDP-1, 1960-01-23, 1960
DEC PDP-4, 1961-01-24, 1961
Univac III, 1962-01-25, 1962
CDC 6600, 1964-01-26, 1964
IBM 1130, 1965-01-27, 1965
DEC PDP-8, 1965-01-28, 1965
IBM 360 Model 75, 1966-01-29, 1966
DEC PDP-10, 1968-01-30, 1968
Intellec-8, 1973-01-31, 1973
Data General Nova, 1973-02-01, 1973
Altair 8800, 1975-02-02, 1975
DEC PDP-11 Model 70, 1976-02-03, 1976
Cray 1, 1977-02-04, 1977
Apple II, 1977-02-05, 1977
DEC VAX 11 Model 780, 1979-02-06, 1979
Sun-1, 1980-02-07, 1980
IBM PC, 1982-02-08, 1982
Compaq Portable, 1982-02-09, 1982
IBM AT-80286, 1983-02-10, 1983
Apple Macintosh, 1984-02-11, 1984
Compaq Deskpro 386, 1986-02-12, 1986
Apple Mac II, 1987-02-13, 1987
Pentium PC, 1993-02-14, 1993
Pentium PC, 1996-02-15, 1996
Pentium II PC, 1998-02-16, 1998
